Sample ID,"Composite Depth, m",d13C,d180
758B 3-5 031,29.03,0.21,3.19
758B 3-5 031,29.03,0.2,3.31
758B 3-5 041,29.13,-0.09,3.45
758B 3-5 051,29.23,0.16,3.39
758B 3-5 061,29.33,0.24,3.16
758B 3-5 071,29.43,0.25,2.88
758B 3-5 081,29.53,0.07,3.24
758B 3-5 081,29.53,0.12,3.34
758A 4-1 001,29.54,-0.09,3.64
758A 4-1 001,29.54,0.11,3.94
758A 4-1 011,29.64,-0.1,3.45
758A 4-1 011,29.64,0,3.55
758A 4-1 021,29.74,0.02,3.47
758A 4-1 021,29.74,0.16,3.69
758A 4-1 031,29.84,0.15,3.33
758A 4-1 031,29.84,0.07,3.59
758A 4-1 041,29.94,-0.17,3.34
758A 4-1 041,29.94,-0.02,3.44
758A 4-1 051,30.04,-0.11,3.44
758A 4-1 051,30.04,-0.12,3.38
758A 4-1 051,30.04,-0.15,3.51
758A 4-1 061,30.14,0.17,3.3
758A 4-1 061,30.14,-0.03,2.74
758A 4-1 071,30.24,-0.09,3.18
758A 4-1 071,30.24,-0.23,3.44
758A 4-1 081,30.34,-0.29,3.5
758A 4-1 091,30.44,-0.14,3.39
758A 4-1 101,30.54,0.13,3.06
758A 4-1 111,30.64,-0.05,3.28
758A 4-1 111,30.64,0.03,3.53
758A 4-1 121,30.74,0.23,3.27
758A 4-1 121,30.74,-0.06,3.47
758A 4-1 131,30.84,0.28,2.94
758A 4-1 141,30.94,0.41,2.88
758A 4-2 001,31.04,0.25,3.15
758A 4-2 001,31.04,0.32,3.05
758A 4-2 001,31.04,0.38,2.84
758A 4-2011,31.14,0.22,3.22
758A 4-2 011,31.14,0.1,3.3
758A 4-2 021,31.24,0.2,3.45
758A 4-2 021,31.24,0.27,3.52
758A 4-2 031,31.34,0.15,3.34
758A 4-2 031,31.34,0.29,3.5
758A 4-2 041,31.44,-0.06,3.18
758A 4-2 051,31.54,-0.32,3.79
758A 4-2 061,31.64,-0.38,3.69
758A 4-2 061,31.64,-0.45,3.67
758A 4-2 071,31.74,-0.3,3.6
758A 4-2 081,31.84,-0.22,3.6
758A 4-2 091,31.94,-0.22,3.4
758A 4-2 091,31.94,-0.15,3.32
758A 4-2 101,32.04,0,3.58
758A 4-2 111,32.14,-0.11,3.36
