Exp,Site,Hole,Core,Section,Top offset cm,Bottom offset cm,Sample depth CSF m,Sample Depth CCSF m,U. peregrina δ13C (PDB‰),U. peregrina δ18O (PDB‰),U. peregrina size (mm) & note,U. auberiana size (mm) & note,U. auberiana δ18O (PDB‰),U. auberiana size (mm) & note,U. mediterranea δ13C (PDB‰),U. mediterranea δ18O (PDB‰),U. mediterranea size (mm) & note,U. spp δ13C (PDB‰),U. spp δ18O (PDB‰),U. spp size (mm) & note,C. brady δ13C (PDB‰),C. brady δ18O (PDB‰),C. brady size (mm) & note,C. lobatulus δ13C (PDB‰),C. lobatulus δ18O (PDB‰),C. lobatulus size (mm) & note,C. mundulus δ13C (PDB‰),C. mundulus δ18O (PDB‰),C. mundulus size (mm) & note,C. robertsonianus δ13C (PDB‰),C. robertsonianus δ18O (PDB‰),C. robertsonianus size (mm) & note,C. wuellerstorfi δ13C (PDB‰),C. wuellerstorfi δ18O (PDB‰),C. wuellerstorfi size (mm) & note,C. spp δ13C (PDB‰),C. spp δ18O (PDB‰),C. spp size (mm) & note
363,U1489,B,3,7,23,25,24.44,26.32,-0.66,3.5,0.75,,,,,,,,,,,,,,,,-0.113,2.823,0.5-0.75 ,,,,,,,,,
363,U1489,D,4,1,65,67,23.36,26.34,-0.95,3.84,0.75,,,,,,,,,,-0.164,3.088,0.5-0.75 ,,,,-0.154,3.545,0.6,,,,,,,,,
363,U1489,D,4,1,115,117,23.86,26.84,-1.18,4.17,0.75-1.25,,,,,,,,,,,,,,,,-0.316,3.68,0.5-0.6 ,,,,,,,,,
363,U1489,D,4,2,15,17,24.36,27.34,-1.05,3.89,0.75,,,,,,,,,,,,,,,,-0.186,3.36,0.5-0.6 ,,,,,,,,,
363,U1489,D,4,2,65,67,24.86,27.84,-0.49,3.38,1,,,,,,,,,,,,,,,,0.052,3.205,0.5-0.6 ,,,,,,,,,
363,U1489,D,4,2,115,117,25.36,28.34,-1.07,4.32,0.75,,,,,,,,,,,,,,,,-0.37,3.437,0.5-0.6 ,,,,,,,,,
363,U1489,D,4,3,15,17,25.86,28.84,-1.05,3.73,0.75,,,,,,,,,,,,,,,,-0.234,2.853,0.5-0.6 ,,,,0.012,2.542,0.4-0.5 ,,,
363,U1489,D,4,3,65,67,26.36,29.34,-0.42,4.02,1-1.25,,,,,,,,,,,,,,,,-0.112,3.507,0.4,,,,,,,,,
363,U1489,D,4,3,115,117,26.86,29.84,-0.82,3.49,0.75,,,,,,,,,,,,,,,,-0.115,2.947,0.5,,,,,,,,,
363,U1489,D,4,4,15,17,27.36,30.34,-0.65,3.56,0.75,,,,,,,,,,,,,,,,0.257,2.66,0.5-0.6 ,,,,,,,,,
363,U1489,D,4,4,65,67,27.86,30.84,-1.14,4.28,1,,,,,,,,,,,,,,,,-0.065,3.747,0.5-0.6 ,,,,,,,,,
363,U1489,D,4,4,115,117,28.36,31.34,-1.1,4.41,0.75,,,,,,,,,,,,,,,,-0.386,3.756,0.4-0.5 ,,,,,,,,,
363,U1489,D,4,5,15,17,28.86,31.84,-0.79,3.93,0.6-0.75,,,,,,,,,,,,,,,,0.081,2.91,0.6,,,,0.056,2.946,0.4-0.7 ,,,
363,U1489,D,4,5,65,67,29.36,32.34,-0.81,3.98,0.75,,,,,,,,,,,,,,,,0.032,3.359,0.4,,,,,,,,,
363,U1489,D,4,5,115,117,29.86,32.84,,,,,,,,,,,,,,,,,,,0.115,3.212,0.6-0.75 ,,,,,,,,,
363,U1489,D,4,6,15,17,30.36,33.34,-0.59,4.39,1,,,,,,,,,,,,,,,,0.094,3.73,0.6-0.75 ,,,,,,,,,
363,U1489,D,4,6,65,67,30.86,33.84,-1.15,3.74,0.75,,,,,,,,,,,,,,,,-0.182,2.958,0.75,,,,,,,,,
363,U1489,D,4,6,115,117,31.36,34.34,-1.34,4.01,0.75,,,,,,,,,,,,,,,,,,,,,,-0.239,3.046,0.5-0.75 ,,,
363,U1489,D,4,7,15,17,31.86,34.84,-1.33,3.83,0.6 frag.,,,,,,,,,,,,,,,,-0.213,2.822,0.75,,,,,,,,,
363,U1489,C,4,5,50,52,29.01,34.92,-0.89,3.72,0.75-1,,,,,,,,,,,,,,,,-0.354,2.975,0.75,,,,,,,,,
363,U1489,C,4,5,100,102,29.51,35.42,-0.65,3.56,0.75,,,,,,,,,,,,,,,,0.107,2.899,0.6-0.75 ,,,,,,,,,
363,U1489,C,4,6,0,2,30.01,35.92,-0.89,4.14,0.75,,,,,,,,,,,,,,,,-0.166,3.384,0.5,,,,,,,,,
363,U1489,C,4,6,50,52,30.51,36.42,-0.87,3.61,0.6,,,,,,,,,,,,,,,,-0.069,3.035,0.5-0.6 ,,,,,,,,,
363,U1489,C,4,6,100,102,31.01,36.92,-0.84,3.59,0.75-0.8,,,,,,,,,,,,,,,,0.133,3.167,0.6-0.7 ,,,,,,,,,
363,U1489,D,5,1,75,77,32.96,36.96,-1.21,3.44,0.75-0.8,,,,,,,,,,,,,,,,0.027,3.074,0.6-0.7 ,,,,,,,,,
363,U1489,D,5,1,125,127,33.46,37.46,-0.41,3.71,1,,,,,,,,,,,,,,,,0.339,3.143,0.5-0.6 ,,,,0.254,2.965,0.4,,,
363,U1489,D,5,2,25,27,33.96,37.96,-0.97,4.26,0.7-0.8,,,,,,,,,,,,,,,,-0.242,3.545,0.6-0.7 ,,,,-0.228,3.427,0.4,,,
363,U1489,D,5,2,75,77,34.46,38.46,-0.94,3.49,0.6-0.8,,,,,,,,,,,,,,,,0.15,3.006,0.6-0.75 ,,,,,,,,,
363,U1489,D,5,2,125,127,34.96,38.96,-0.98,3.74,0.7-0.8,,,,,,,,,,,,,,,,-0.21,3.112,0.5-0.6 ,,,,,,,,,
363,U1489,D,5,3,25,27,35.46,39.46,,,,,,,,,,-0.95,3.58,0.6-0.75 frag,,,,,,,-0.482,3.071,0.35-0.5 ,,,,,,,,,
363,U1489,D,5,3,75,77,35.96,39.96,,,,,,,,,,,,,,,,,,,0.07,3.094,0.4-0.6 ,,,,,,,,,
363,U1489,D,5,3,125,127,36.46,40.46,,,,,,,,,,,,,,,,,,,0.246,3.225,0.5-0.6 ,,,,0.044,2.972,0.4-0.5 ,,,
363,U1489,D,5,4,25,27,36.96,40.96,,,,,,,,,,,,,,,,-0.478,3.29,0.6-0.75 ,,,,,,,-0.658,3.333,0.4,,,
363,U1489,D,5,4,75,77,37.46,41.46,,,,,,,,,,,,,,,,,,,-0.006,3.362,0.4-0.6 ,,,,,,,,,
363,U1489,D,5,4,125,127,37.96,41.96,,,,,,,,,,,,,,,,,,,0.041,2.616,0.5-0.7  frag.,,,,,,,,,
363,U1489,D,5,5,25,27,38.46,42.46,,,,,,,,,,,,,,,,,,,-0.504,2.782,0.75,,,,-0.156,2.594,0.3-0.4 ,,,
363,U1489,D,5,5,75,77,38.96,42.96,-1.32,4.02,0.75-1,,,,,,,,,,,,,,,,-0.387,3.083,0.5-0.6 ,,,,,,,,,
363,U1489,D,5,5,125,127,39.46,43.46,,,,,,,,,,,,,,,,,,,-0.139,2.981,0.6,,,,,,,,,
363,U1489,D,5,6,25,27,39.96,43.96,-1.26,4.15,0.8-1,,,,,,,,,,,,,,,,-0.596,3.631,0.5-0.6 ,,,,,,,,,
363,U1489,D,5,6,75,77,40.46,44.46,,,,,,,,,,,,,,,,,,,-0.065,3.065,0.5-0.6 ,,,,,,,,,
363,U1489,D,5,6,125,127,40.96,44.96,-1.11,3.98,0.6-0.75,,,,,,,,,,,,,,,,-0.169,3.082,0.5,,,,,,,,,
363,U1489,D,5,7,25,27,41.46,45.46,,,,,,,,,,,,,,,,,,,-0.254,2.831,0.6,,,,,,,-0.241,2.63,0.4-0.6 
363,U1489,C,5,5,90,92,38.91,45.47,,,,,,,,,,,,,,,,,,,-0.015,2.884,0.5-0.6 ,,,,,,,,,
363,U1489,C,5,5,140,142,39.41,45.97,-0.95,3.63,0.6-0.75,,,,,,,,,,,,,,,,-0.219,3.062,0.6-0.7 ,,,,-0.143,3.028,0.4,,,
363,U1489,C,5,6,40,42,39.91,46.47,,,,,,,,,,,,,,,,,,,0.061,2.957,0.6-0.7 ,,,,,,,,,
363,U1489,C,5,6,90,92,40.41,46.97,-0.78,3.65,0.75,,,,,,,,,,,,,,,,-0.142,3.378,0.5-0.7 ,,,,,,,,,
363,U1489,D,6,1,65,67,42.36,47.01,-1.07,3.61,0.6-0.7,,,,,,,,,,,,,,,,-0.249,3.335,0.5-0.6 ,,,,,,,,,
363,U1489,D,6,1,115,117,42.86,47.51,,,,,,,,,,,,,,,,,,,0.128,2.911,0.5-0.6 ,,,,0.306,2.862,0.3-0.5 ,,,
363,U1489,D,6,2,15,17,43.36,48.01,,,,,,,,,,,,,,,,,,,0.243,3.114,0.4-0.5 ,,,,0.246,2.994,0.3-0.4 ,,,
363,U1489,D,6,2,65,67,43.86,48.51,-0.92,4.25,0.6-0.75,,,,,,,,,,,,,,,,-0.17,3.29,0.5-0.6 ,,,,,,,,,
363,U1489,D,6,2,115,117,44.36,49.01,-1.17,3.73,0.6-0.75,,,,,,,,,,,,,,,,-0.301,3.621,0.5-0.6 ,,,,-0.078,3.515,0.4-0.5 ,,,
363,U1489,D,6,3,15,17,44.86,49.51,,,,,,,,,,,,,,,,,,,0.145,2.927,0.75,-0.261,3.053,0.5,,,,,,
363,U1489,D,6,3,65,67,45.36,50.01,-1,4.2,0.75,,,,,,,,,,,,,,,,-0.243,3.552,0.5,,,,,,,,,
363,U1489,D,6,3,115,117,45.86,50.51,,,,-1.35,4.19,0.6-0.8,,,,,,,,,,,,,-0.56,3.327,0.4-0.5 ,,,,,,,,,
363,U1489,D,6,4,15,17,46.36,51.01,,,,,,,,,,,,,,,,-0.284,3.185,0.5-0.6 ,,,,,,,,,,,,
