mcd,ageSBP90,C13,O18
6207.5,1530,0.94,2.98
6237.5,1535.7,0.04,3.63
6270.5,1542,0.13,3.78
6285.5,1545.3,0.1,3.57
6310.5,1550.7,0.76,3.44
6321.5,1553.1,0.88,3.27
6353.5,1560,1.16,3.35
6398.5,1565,1.2,3
6411.5,1566.5,1.12,2.89
6435.5,1569.2,1.09,3.42
6518.5,1586,1.07,3.3
6533.5,1589.7,1.11,3.06
6570.5,1598.6,1.22,3.26
6595.5,1604.7,1.3,2.81
6621.5,1611,1.19,2.89
6638.5,1615.1,1.12,2.88
6651.5,1618.3,1.24,3.18
6668.5,1622.4,1.04,3.31
6683.5,1626,1.2,3.16
6698.5,1629.4,1.02,3.15
6719.5,1634.1,1.25,3.15
6743.5,1639.5,1.15,2.86
6760.5,1643.3,1.3,3.15
6773.5,1646.2,1.28,3.3
6803.5,1653,1.19,3.74
6818.5,1656,1.25,3.59
6848.5,1662,0.8,3.68
6863.5,1665,1.04,3.7
6885.5,1669.4,1.21,3.15
6908.5,1674,1.29,3.09
6923.5,1677,1.17,2.79
6938.5,1680.7,1.19,2.86
6953.5,1684.5,1.17,3.1
6968.5,1688.3,1.06,2.95
6998.5,1695.8,0.84,2.97
7011.5,1699,0.29,3.5
7035.5,1705.7,0.56,3.1
7043.5,1708,0.94,2.92
7060.5,1713,0.9,2.86
7071.5,1716,0.74,3.21
7103.5,1724.7,0.89,3.05
7118.5,1728.8,0.83,3.12
7137.5,1734,0.91,2.86
7170.5,1738.9,0.86,3.22
7214.5,1745.4,0.71,3.18
7285.5,1766.3,0.99,2.73
7300.5,1768.5,1.23,2.76
7322.5,1771.8,1.07,2.9
7330.5,1773,1.14,2.91
7347.5,1776.6,1,3.12
7375.5,1782.5,0.31,3.35
7472.5,1803,1.1,2.68
7480.5,1805,1.02,2.82
7497.5,1809.3,0.98,3.05
7510.5,1812.6,0.95,2.95
7525.5,1816.4,1.08,2.82
7540.5,1820.2,0.97,2.94
7555.5,1824,0.95,2.81
7570.5,1830,0.56,3.02
7585.5,1836,0.52,3.66
7600.5,1845,0.62,3.26
7622.5,1849.3,1.05,3.01
7630.5,1850.9,0.98,2.94
7647.5,1854.2,1.01,3.01
7660.5,1856.7,1.03,2.82
7675.5,1859.7,0.71,2.94
7692.5,1863,0.82,3.24
7705.5,1865.2,0.95,2.89
7735.5,1870.3,1.25,2.83
7750.5,1872.9,0.71,2.96
7772.5,1876.6,1.05,2.85
7780.5,1878,1.32,3.05
7810.5,1887,1.1,2.93
7825.5,1891.5,0.93,2.72
7840.5,1896,0.82,3.02
7855.5,1900.5,0.94,2.82
7870.5,1905,1.04,3.16
7885.5,1907.1,0.96,3.3
7900.5,1909.3,0.78,3.42
7922.5,1912.4,0.85,3.5
7930.5,1913.6,0.71,3.29
7947.5,1916,0.52,3.52
7975.5,1922.2,0.33,3.3
7990.5,1925.5,0.55,3.38
8005.5,1928.8,0.76,3.04
8010.5,1929.9,0.7,3.05
8020.5,1932.1,0.54,3.11
8035.5,1935.4,0.97,2.97
8048.5,1938.2,0.94,2.93
8072.5,1943.5,0.77,2.7
8080.5,1945.3,1.02,2.82
8097.5,1949,0.85,2.65
8108.5,1951.4,0.98,2.74
8125.5,1955,0.5,3.4
8140.5,1958.4,0.48,3.49
8155.5,1961.8,0.71,3.27
8185.5,1968.5,0.93,2.97
8200.5,1971.9,0.67,3.31
8230.5,1978.6,1.13,2.72
8245.5,1982,0.96,2.58
8260.5,1983.5,1.05,3.04
8269.5,1984.4,0.96,2.82
8306.5,1988,0.32,3.42
8314.5,1990.1,0.9,3.34
8331.5,1994.4,0.95,3.33
8344.5,1997.8,0.6,3.16
8359.5,2001.7,0.84,3.14
8376.5,2006,0.87,2.88
8389.5,2009.4,0.84,3.01
8404.5,2013.3,1.13,3
8419.5,2017.1,1.31,2.73
