Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
306,1313,A,28,H,1,1.5,1.5,252.2,
306,1313,A,28,H,2,1.5,1.5,253.7,
306,1313,A,28,H,3,1.5,1.5,255.2,
306,1313,A,28,H,4,1.5,1.5,256.7,
306,1313,A,28,H,5,1.5,1.5,258.2,
306,1313,A,28,H,6,1.42,1.42,259.7,
306,1313,A,28,H,7,0.61,0.61,261.12,
306,1313,A,28,H,CC(7),0.14,0.14,261.73,
306,1313,A,29,H,1,1.5,1.5,261.7,
306,1313,A,29,H,2,1.5,1.5,263.2,
306,1313,A,29,H,3,1.2,1.2,264.7,0/0
306,1313,A,29,H,4,1.5,1.5,265.9,
306,1313,A,29,H,5,1.5,1.5,267.4,
306,1313,A,29,H,6,1.5,1.5,268.9,
306,1313,A,29,H,7,0.4,0.4,270.4,
306,1313,A,29,H,CC(7),0.28,0.28,270.8,
306,1313,A,30,H,1,1.5,1.5,271.2,
306,1313,A,30,H,2,1.5,1.5,272.7,
306,1313,A,30,H,3,1.5,1.5,274.2,
306,1313,A,30,H,4,1.5,1.5,275.7,
306,1313,A,30,H,5,1.5,1.5,277.2,
306,1313,A,30,H,6,1.5,1.5,278.7,
306,1313,A,30,H,7,0.44,0.44,280.2,
306,1313,A,30,H,CC(7),0.14,0.14,280.64,
306,1313,A,31,H,1,1.5,1.5,280.7,
306,1313,A,31,H,2,1.5,1.5,282.2,
306,1313,A,31,H,3,1.5,1.5,283.7,
306,1313,A,31,H,4,1.5,1.5,285.2,
306,1313,A,31,H,5,1.5,1.5,286.7,
306,1313,A,31,H,6,1.5,1.5,288.2,
306,1313,A,31,H,7,0.58,0.58,289.7,
306,1313,A,31,H,CC(7),0.23,0.23,290.28,
306,1313,A,32,H,1,1.5,1.5,290.2,
306,1313,A,32,H,2,1.5,1.5,291.7,
306,1313,A,32,H,3,1.5,1.5,293.2,
306,1313,A,32,H,4,1.5,1.5,294.7,
306,1313,A,32,H,5,1.5,1.5,296.2,
306,1313,A,32,H,6,1.43,1.43,297.7,
306,1313,A,32,H,CC(6),0.05,0.05,299.13,
306,1313,A,33,H,1,1.5,1.5,299.7,
306,1313,A,33,H,2,1.5,1.5,301.2,
306,1313,A,33,H,3,1.5,1.5,302.7,
306,1313,A,33,H,4,1.5,1.5,304.2,
306,1313,A,33,H,5,1.5,1.5,305.7,
306,1313,A,33,H,6,1.22,1.22,307.2,
306,1313,A,33,H,CC(6),0.22,0.22,308.42,
306,1313,B,1,H,1,1.5,1.5,0,
306,1313,B,1,H,2,1.5,1.5,1.5,
306,1313,B,1,H,3,1.5,1.5,3,
306,1313,B,1,H,4,1.25,1.25,4.5,
306,1313,B,1,H,CC(4),0.15,0.15,5.75,
306,1313,B,2,H,1,1.5,1.5,5.9,
306,1313,B,2,H,2,1.5,1.5,7.4,
306,1313,B,2,H,3,1.5,1.5,8.9,
306,1313,B,2,H,4,1.5,1.5,10.4,
306,1313,B,2,H,5,1.5,1.5,11.9,
306,1313,B,2,H,6,1.5,1.5,13.4,
306,1313,B,2,H,7,0.72,0.72,14.9,
306,1313,B,2,H,CC(7),0.21,0.21,15.62,
306,1313,B,3,H,1,1.5,1.5,15.4,
306,1313,B,3,H,2,1.5,1.5,16.9,
306,1313,B,3,H,3,1.5,1.5,18.4,
306,1313,B,3,H,4,1.5,1.5,19.9,
306,1313,B,3,H,5,1.5,1.5,21.4,
306,1313,B,3,H,6,1,1,22.9,
306,1313,B,3,H,7,0.97,0.97,23.9,
306,1313,B,3,H,CC(7),0.17,0.17,24.87,
306,1313,B,4,H,1,1.5,1.5,24.9,
306,1313,B,4,H,2,1.5,1.5,26.4,
306,1313,B,4,H,3,1.5,1.5,27.9,
306,1313,B,4,H,4,1.5,1.5,29.4,
306,1313,B,4,H,5,1.5,1.5,30.9,
306,1313,B,4,H,6,1.5,1.5,32.4,
306,1313,B,4,H,7,0.75,0.75,33.9,
306,1313,B,4,H,CC(7),0.14,0.14,34.65,
306,1313,B,5,H,1,1.5,1.5,34.4,
306,1313,B,5,H,2,1.5,1.5,35.9,
306,1313,B,5,H,3,1.5,1.5,37.4,
306,1313,B,5,H,4,1.5,1.5,38.9,
306,1313,B,5,H,5,1.5,1.5,40.4,
306,1313,B,5,H,6,1.5,1.5,41.9,
306,1313,B,5,H,7,0.61,0.61,43.4,
306,1313,B,5,H,CC(7),0.17,0.17,44.01,
306,1313,B,6,H,1,1.5,1.5,43.9,
306,1313,B,6,H,2,1.5,1.5,45.4,
306,1313,B,6,H,3,1.5,1.5,46.9,
306,1313,B,6,H,4,1.5,1.5,48.4,
306,1313,B,6,H,5,1.5,1.5,49.9,
306,1313,B,6,H,6,1.5,1.5,51.4,
306,1313,B,6,H,7,0.85,0.85,52.9,
306,1313,B,6,H,CC(7),0.22,0.22,53.75,
306,1313,B,7,H,1,1.5,1.5,53.4,
306,1313,B,7,H,2,1.5,1.5,54.9,
