SectionLabel,Leg,Site,Hole,Core,Type,Section,LL(m),CL(m),Top(mbsf),Comment,CoreLabel,Bottom(mbsf),Top(mcd),Bottom(mcd),Filename
1313C_11H3,306,1313,C,11,H,3,1.5,1.5,91.2,,1313C_11,92.7,102.11,103.61,1313c_011h_03.jpg
1313C_11H4,306,1313,C,11,H,4,1.5,1.5,92.7,,1313C_11,94.2,103.61,105.11,1313c_011h_04.jpg
1313C_11H5,306,1313,C,11,H,5,1.5,1.5,94.2,,1313C_11,95.7,105.11,106.61,1313c_011h_05.jpg
1313B_11H2,306,1313,B,11,H,2,1.5,1.5,92.9,,1313B_11,94.4,104.57000000000001,106.07000000000001,1313b_011h_02.jpg
1313B_11H3,306,1313,B,11,H,3,1.5,1.5,94.4,,1313B_11,95.9,106.07000000000001,107.57000000000001,1313b_011h_03.jpg
1313B_11H4,306,1313,B,11,H,4,1.5,1.5,95.9,,1313B_11,97.4,107.57000000000001,109.07,1313b_011h_04.jpg
1313B_11H5,306,1313,B,11,H,5,1.5,1.5,97.4,,1313B_11,98.9,109.07,110.57,1313b_011h_05.jpg
1313B_11H6,306,1313,B,11,H,6,1.5,1.5,98.9,,1313B_11,100.4,110.57,112.07,1313b_011h_06.jpg
1313C_12H2,306,1313,C,12,H,2,1.5,1.5,99.2,,1313C_12,100.7,111.5,113.0,1313c_012h_02.jpg
1313C_12H3,306,1313,C,12,H,3,1.5,1.5,100.7,,1313C_12,102.2,113.0,114.5,1313c_012h_03.jpg
1313C_12H4,306,1313,C,12,H,4,1.5,1.5,102.2,,1313C_12,103.7,114.5,116.0,1313c_012h_04.jpg
1313C_12H5,306,1313,C,12,H,5,1.5,1.5,103.7,,1313C_12,105.2,116.0,117.5,1313c_012h_05.jpg
1313B_12H2,306,1313,B,12,H,2,1.5,1.5,102.4,,1313B_12,103.9,115.44000000000001,116.94000000000001,1313b_012h_02.jpg
1313B_12H3,306,1313,B,12,H,3,1.5,1.5,103.9,,1313B_12,105.4,116.94000000000001,118.44000000000001,1313b_012h_03.jpg
1313B_12H4,306,1313,B,12,H,4,1.5,1.5,105.4,,1313B_12,106.9,118.44000000000001,119.94000000000001,1313b_012h_04.jpg
1313B_12H5,306,1313,B,12,H,5,1.5,1.5,106.9,,1313B_12,108.4,119.94000000000001,121.44000000000001,1313b_012h_05.jpg
1313B_12H6,306,1313,B,12,H,6,1.5,1.5,108.4,,1313B_12,109.9,121.44000000000001,122.94000000000001,1313b_012h_06.jpg
1313C_13H2,306,1313,C,13,H,2,1.5,1.5,108.7,,1313C_13,110.2,121.30000000000003,122.80000000000001,1313c_013h_02.jpg
1313C_13H3,306,1313,C,13,H,3,1.5,1.5,110.2,,1313C_13,111.7,122.80000000000001,124.3,1313c_013h_03.jpg
1313C_13H4,306,1313,C,13,H,4,1.5,1.5,111.7,,1313C_13,113.2,124.3,125.79999999999998,1313c_013h_04.jpg
1313B_13H1,306,1313,B,13,H,1,1.5,1.5,110.4,,1313B_13,111.9,124.01,125.51,1313b_013h_01.jpg
1313B_13H2,306,1313,B,13,H,2,1.5,1.5,111.9,,1313B_13,113.4,125.51,127.01,1313b_013h_02.jpg
1313B_13H3,306,1313,B,13,H,3,1.5,1.5,113.4,,1313B_13,114.9,127.01,128.51000000000002,1313b_013h_03.jpg
1313B_13H4,306,1313,B,13,H,4,1.5,1.5,114.9,,1313B_13,116.4,128.51000000000002,130.01000000000002,1313b_013h_04.jpg
1313B_13H5,306,1313,B,13,H,5,1.5,1.5,116.4,,1313B_13,117.9,130.01000000000002,131.51000000000002,1313b_013h_05.jpg
1313B_13H6,306,1313,B,13,H,6,1.5,1.5,117.9,,1313B_13,119.4,131.51000000000002,133.01000000000002,1313b_013h_06.jpg
1313C_14H2,306,1313,C,14,H,2,1.5,1.5,118.2,,1313C_14,119.7,132.06000000000003,133.56,1313c_014h_02.jpg
1313C_14H3,306,1313,C,14,H,3,1.5,1.5,119.7,,1313C_14,121.2,133.56,135.06,1313c_014h_03.jpg
1313C_14H4,306,1313,C,14,H,4,1.5,1.5,121.2,,1313C_14,122.7,135.06,136.56,1313c_014h_04.jpg
1313C_14H5,306,1313,C,14,H,5,1.5,1.5,122.7,,1313C_14,124.2,136.56,138.05999999999997,1313c_014h_05.jpg
1313B_14H3,306,1313,B,14,H,3,1.5,1.5,122.9,,1313B_14,124.4,137.48,138.98,1313b_014h_03.jpg
1313B_14H4,306,1313,B,14,H,4,1.5,1.5,124.4,,1313B_14,125.9,138.98,140.48,1313b_014h_04.jpg
1313B_14H5,306,1313,B,14,H,5,1.5,1.5,125.9,,1313B_14,127.4,140.48,141.98,1313b_014h_05.jpg
1313C_15H1,306,1313,C,15,H,1,1.5,1.5,126.2,,1313C_15,127.7,140.66,142.16,1313c_015h_01.jpg
1313C_15H2,306,1313,C,15,H,2,1.5,1.5,127.7,,1313C_15,129.2,142.16,143.66,1313c_015h_02.jpg
1313C_15H3,306,1313,C,15,H,3,1.5,1.5,129.2,,1313C_15,130.7,143.66,145.16,1313c_015h_03.jpg
1313C_15H4,306,1313,C,15,H,4,1.5,1.5,130.7,,1313C_15,132.2,145.16,146.66,1313c_015h_04.jpg
1313C_15H5,306,1313,C,15,H,5,1.5,1.5,132.2,,1313C_15,133.7,146.66,148.16,1313c_015h_05.jpg
1313B_15H3,306,1313,B,15,H,3,1.5,1.5,132.4,,1313B_15,133.9,147.28,148.78,1313b_015h_03.jpg
1313B_15H4,306,1313,B,15,H,4,1.5,1.5,133.9,,1313B_15,135.4,148.78,150.28,1313b_015h_04.jpg
1313B_15H5,306,1313,B,15,H,5,1.5,1.5,135.4,,1313B_15,136.9,150.28,151.78,1313b_015h_05.jpg
1313B_15H6,306,1313,B,15,H,6,1.5,1.5,136.9,,1313B_15,138.4,151.78,153.28,1313b_015h_06.jpg
1313C_16H2,306,1313,C,16,H,2,1.5,1.5,137.2,,1313C_16,138.7,152.48,153.98,1313c_016h_02.jpg
1313C_16H3,306,1313,C,16,H,3,1.5,1.5,138.7,,1313C_16,140.2,153.98,155.48,1313c_016h_03.jpg
1313C_16H4,306,1313,C,16,H,4,1.5,1.5,140.2,,1313C_16,141.7,155.48,156.98,1313c_016h_04.jpg
1313C_16H5,306,1313,C,16,H,5,1.5,1.5,141.7,,1313C_16,143.2,156.98,158.48,1313c_016h_05.jpg
1313B_16H3,306,1313,B,16,H,3,1.5,1.5,141.9,,1313B_16,143.4,158.08,159.58,1313b_016h_03.jpg
1313B_16H4,306,1313,B,16,H,4,1.5,1.5,143.4,,1313B_16,144.9,159.58,161.08,1313b_016h_04.jpg
1313B_16H5,306,1313,B,16,H,5,1.5,1.5,144.9,,1313B_16,146.4,161.08,162.58,1313b_016h_05.jpg
1313B_16H6,306,1313,B,16,H,6,1.5,1.5,146.4,,1313B_16,147.9,162.58,164.08,1313b_016h_06.jpg
1313B_16H7,306,1313,B,16,H,7,0.79,0.79,147.9,,1313B_16,148.69,164.08,164.87,1313b_016h_07.jpg
1313C_17H2,306,1313,C,17,H,2,1.5,1.5,146.7,,1313C_17,148.2,163.16,164.66,1313c_017h_02.jpg
1313C_17H3,306,1313,C,17,H,3,1.5,1.5,148.2,,1313C_17,149.7,164.66,166.16,1313c_017h_03.jpg
1313C_17H4,306,1313,C,17,H,4,1.5,1.5,149.7,,1313C_17,151.2,166.16,167.66,1313c_017h_04.jpg
1313C_17H5,306,1313,C,17,H,5,1.5,1.5,151.2,,1313C_17,152.7,167.66,169.16,1313c_017h_05.jpg
1313C_17H6,306,1313,C,17,H,6,1.5,1.5,152.7,,1313C_17,154.2,169.16,170.66,1313c_017h_06.jpg
1313C_17H7,306,1313,C,17,H,7,0.79,0.79,154.2,,1313C_17,154.98999999999998,170.66,171.45,1313c_017h_07.jpg
1313B_17H4,306,1313,B,17,H,4,1.5,1.5,152.9,,1313B_17,154.4,170.11,171.61,1313b_017h_04.jpg
1313B_17H5,306,1313,B,17,H,5,1.5,1.5,154.4,,1313B_17,155.9,171.61,173.10999999999999,1313b_017h_05.jpg
1313B_17H6,306,1313,B,17,H,6,1.5,1.5,155.9,,1313B_17,157.4,173.10999999999999,174.60999999999999,1313b_017h_06.jpg
1313B_17H7,306,1313,B,17,H,7,0.78,0.78,157.4,,1313B_17,158.18,174.60999999999999,175.39,1313b_017h_07.jpg
1313C_18H2,306,1313,C,18,H,2,1.5,1.5,156.2,,1313C_18,157.7,173.80999999999997,175.30999999999997,1313c_018h_02.jpg
1313C_18H3,306,1313,C,18,H,3,1.5,1.5,157.7,,1313C_18,159.2,175.30999999999997,176.80999999999997,1313c_018h_03.jpg
1313C_18H4,306,1313,C,18,H,4,1.5,1.5,159.2,,1313C_18,160.7,176.80999999999997,178.30999999999997,1313c_018h_04.jpg
1313C_18H5,306,1313,C,18,H,5,1.5,1.5,160.7,,1313C_18,162.2,178.30999999999997,179.80999999999997,1313c_018h_05.jpg
1313B_18H2,306,1313,B,18,H,2,1.5,1.5,159.4,,1313B_18,160.9,177.66,179.16,1313b_018h_02.jpg
1313B_18H3,306,1313,B,18,H,3,1.5,1.5,160.9,,1313B_18,162.4,179.16,180.66,1313b_018h_03.jpg
1313B_18H4,306,1313,B,18,H,4,1.5,1.5,162.4,,1313B_18,163.9,180.66,182.16,1313b_018h_04.jpg
1313B_18H5,306,1313,B,18,H,5,1.5,1.5,163.9,,1313B_18,165.4,182.16,183.66,1313b_018h_05.jpg
1313B_18H6,306,1313,B,18,H,6,1.5,1.5,165.4,,1313B_18,166.9,183.66,185.16,1313b_018h_06.jpg
