Age [ka BP],607,1308,925,659,664,1088,U1474,1090,U1475,758,1143,U1489,846,849,stack,1s,filt
56.0,0.9237530864197531,0.4814285714285715,0.3574815131050166,0.3349090909090908,0.17749999999999996,0.24500000000000002,,-0.31,0.30759999999999954,0.0807360283690884,-0.33191666666666664,-0.08223255813953492,-0.4425,0.00625,0.13524811750428753,0.142389451371079,0.1138543615869893
57.0,0.8740967415502936,0.41175428571428574,0.27891478963776173,0.29581818181818176,0.12049999999999997,0.22559999999999997,,-0.31642261904761904,0.2769999999999995,0.029669103388793305,,-0.09241860465116283,-0.45620000000000005,0.007150000000000001,0.1061484503618902,0.15676348379113966,0.11385305831809614
58.0,0.8816231532078527,0.3558742857142857,0.21322843166783545,0.25672727272727264,0.06349999999999996,0.2354,,-0.33058333333333334,0.2289999999999995,-0.0228096513358883,,-0.10260465116279074,-0.4673,0.0028499999999999992,0.07776875278478189,0.1715722781186888,0.11385176324119461
59.0,0.8420180108754376,0.3137885714285714,0.16664938357403913,0.21763636363636354,0.0064999999999999555,0.2744,,-0.35248214285714285,0.23439999999999978,-0.06676574090481054,,-0.11279069767441863,-0.4758,-0.0066500000000000005,0.05493527283418237,0.18117623891884793,0.1138504765325435
60.0,0.7007439368013633,0.2854971428571428,0.13924776862005003,0.17854545454545445,-0.05050000000000006,0.3426,,-0.37540476190476185,0.23189999999999986,-0.10219916531797339,,-0.12297674418604654,-0.4817,-0.02135,0.028560263112281475,0.18263769837006408,0.11384919836070434
61.0,0.4998797392704991,0.2709999999999999,0.1292297066970509,0.13945454545454536,-0.10750000000000007,0.44000000000000006,,-0.3917797619047619,0.2384,-0.12910992457537687,,-0.13316279069767445,-0.485,-0.041249999999999995,0.004040086681369258,0.19710122487311119,0.11384792889342438
62.0,0.35780946065548763,0.26399499999999987,0.12172588188614816,0.11126060606060609,-0.15620000000000006,0.5412,,-0.39518452380952385,0.2225000000000001,-0.1380931073017176,,-0.14334883720930236,-0.4812,-0.06375,-0.01174716614884608,0.22281387510150513,0.11384666829017517
63.0,0.18128354725403212,0.2581799999999999,0.12252273703324694,0.1375515151515152,-0.18830000000000002,0.6208,,-0.3837119815668203,0.1905000000000001,-0.13523839072029012,,-0.15353488372093027,-0.46579999999999994,-0.08625000000000001,-0.02363982755309146,0.25109578773585417,0.1138454166897207
64.0,0.06402371699053293,0.25355499999999986,0.13162027213834726,0.1780683730508974,-0.20380000000000004,0.6788,,-0.3525756353861193,0.10350000000000012,-0.12054577483109444,,-0.16103488372093025,-0.43879999999999997,-0.10874999999999999,-0.029801617152184795,0.2726029935428393,0.11384417421093963
65.0,0.057687073964528345,0.2501199999999999,0.15508478549065413,0.23281117975875265,-0.20270000000000002,0.7152000000000001,,-0.30848977098170655,0.013500000000000123,-0.09401525963413056,,-0.16316279069767442,-0.4002,-0.13125,-0.021424604680618933,0.2772909902050723,0.11384294094618622
66.0,0.1344972879051769,0.2478749999999999,0.2017339566828909,0.30177993527508107,-0.185,0.73,,-0.25902581692501053,-0.016833333333332864,-0.05871669041148646,,-0.15991860465116278,-0.35,-0.15375,0.004246771706192088,0.26568254026796595,0.11384171694201906
67.0,0.2420509185210027,0.25336833333333325,0.26905354860296116,0.37407766990291264,-0.16019999999999998,0.7302,,-0.20418377321603134,-0.033333333333332604,-0.026509849866348183,,-0.15130232558139534,-0.29739999999999994,-0.172,0.03684505952460427,0.2485621095960092,0.11384050219577213
68.0,0.43677663266514466,0.2731483333333332,0.34392605174350466,0.406116504854369,-0.1378,0.7228,,-0.14455522971652013,-0.04333333333333204,0.0007249774268355865,,-0.13731395348837208,-0.25159999999999993,-0.18175000000000002,0.07545495911809265,0.22566186328057175,0.11383929667195038
69.0,0.6634672651751167,0.3072149999999999,0.41937101558509865,0.43815533980582533,-0.11779999999999999,0.7078,,-0.0849266862170089,-0.02933333333333204,0.022987791468064855,,-0.1206395348837209,-0.21259999999999996,-0.183,0.11908469862768273,0.21052590590211323,0.1138381003136804
70.0,0.8636816169657868,0.3555683333333332,0.48932214183853817,0.4701941747572816,-0.1002,0.6852,,-0.02529814271749766,0.009333333333334594,0.04016217932688247,,-0.10396511627906972,-0.18039999999999995,-0.17575000000000002,0.16218067054089486,0.20778795114794438,0.1138369130500544
71.0,1.0264269585806938,0.4182083333333333,0.5449617509110997,0.502233009708738,-0.085,0.655,,0.03433040078201357,0.06800000000000057,0.055138580543573526,-0.2665,-0.08729069767441855,-0.15499999999999994,-0.16,0.19697883063965024,0.20481031361484134,0.11383573481337399
72.0,1.1444518033011908,0.4827488888888888,0.5862898428027834,0.5342718446601943,-0.05600000000000001,0.626,,0.0939589442815248,0.14133333333333356,0.06981916308800454,-0.17328,-0.07061627906976738,-0.13479999999999995,-0.1355,0.2399149233397363,0.20852846090787813,0.11383456554319332
73.0,1.1947107760861304,0.5368038888888889,0.6206374841750444,0.5663106796116506,0.0030000000000000027,0.607,,0.153587487781036,0.2146666666666655,0.0842039269601755,-0.10042,-0.0539418604651162,-0.11819999999999993,-0.10200000000000001,0.2781981162949918,0.20398535624020128,0.11383340517564676
74.0,1.227329560616517,0.5803733333333333,0.7171219719653468,0.596139077669903,0.09200000000000001,0.598,,0.21300712191034768,0.2986666666666655,0.09829287216008642,-0.047920000000000004,-0.037267441860465024,-0.10519999999999992,-0.05950000000000001,0.32163535573785806,0.19108060588482334,0.11383225364288774
75.0,1.2453764895330113,0.6134572222222222,0.8216209094322025,0.6228097087378641,0.21100000000000002,0.599,,0.26526295210166173,0.4159999999999984,0.11220241161819444,-0.015779999999999995,-0.020593023255813848,-0.09579999999999993,-0.008000000000000004,0.36744408711690474,0.17434791737630734,0.11383111086959653
