Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),Holocene-LGM CaCO3 (%),Organic Carbon (%),CaCO3 (%),Productivity (mgC/m2/day),Sedimentation Rate (cm/ka)
DSDP,21,203,*,-22.1537,-177.5462,2720,None,FALSE,FALSE,FALSE,FALSE,FALSE,199.625,-13.6375,0.8185257315635681,18.7275,228.1250915527344,6.6343889236450195
DSDP,21,204,*,-24.9545,-174.1115,5354,None,FALSE,FALSE,FALSE,FALSE,FALSE,206.875,-13.6375,0.3387335538864136,0,205.93458557128903,0.098712176
DSDP,21,206,*,-32.0125,165.4525,3196,None,FALSE,FALSE,FALSE,FALSE,FALSE,168.0625,7.75,0.902399719,81.285,354.1531677246094,
DSDP,21,207,*,-36.9625,165.4343,1389,None,FALSE,FALSE,FALSE,FALSE,FALSE,189.5625,,0.7029034495353699,84.4525,443.3614807128906,
DSDP,21,208,*,-26.1102,161.2212,1545,None,FALSE,FALSE,FALSE,FALSE,FALSE,166.5625,7.75,0.6528087258338928,81.88999999999999,228.62298583984375,
DSDP,21,209,*,-15.9365,152.1878,1428,None,FALSE,FALSE,FALSE,FALSE,FALSE,184.625,7.75,0.8126855492591858,22.396666666666665,163.93252563476562,1.0319077968597412
DSDP,21,210,*,-13.7665,152.8963,4643,None,FALSE,FALSE,FALSE,FALSE,TRUE,178.8125,7.75,0.9115616679191588,14.517499999999998,179.19163513183594,0.7527492046356201
DSDP,22,211,*,-9.7755,102.6992,5518,None,FALSE,FALSE,FALSE,FALSE,FALSE,196.625,3.7307692307692335,0.5442469120025635,6.772499999999999,220.21095275878903,0.7656334042549133
DSDP,22,212,*,-19.189,99.2973,6233,None,FALSE,FALSE,FALSE,FALSE,FALSE,204.0625,-21.375,0.4180323183536529,0.4775,193.3729248046875,0.1254915595054626
DSDP,22,213,*,-10.2118,93.8962,5601,None,FALSE,FALSE,FALSE,FALSE,FALSE,198.3125,3.7307692307692335,0.3622668981552124,11.2325,200.94650268554688,0.022194155
DSDP,22,214,*,-11.3368,88.718,1655,None,FALSE,FALSE,FALSE,FALSE,FALSE,190.5,-21.375,0.3298396468162536,54.1675,192.88992309570312,0.6434944272041321
DSDP,22,215,*,-8.1217,86.7917,5309,None,FALSE,FALSE,FALSE,FALSE,FALSE,185.8125,3.7307692307692335,0.4100989103317261,9.8125,233.0817108154297,0.2661285102367401
DSDP,22,216,*,1.4622,90.208,2237,None,FALSE,FALSE,FALSE,FALSE,FALSE,127.4375,3.7307692307692335,0.3855124115943908,72.6,279.22100830078125,0.4639321565628052
DSDP,22,217,*,8.9262,90.5388,3010,None,FALSE,FALSE,FALSE,FALSE,TRUE,162.8125,3.7307692307692335,0.6886629462242126,54.06999999999999,392.3249816894531,1.345556378364563
DSDP,22,218,*,8.007,86.2828,3749,None,FALSE,FALSE,FALSE,FALSE,FALSE,157.6875,3.7307692307692335,0.7922236919403076,59.665,577.1757202148438,6.121978759765625
