Era,Leg/Exp,Site,Hole,Latitude,Longitude,Water depth (m),Transition Depth,Green bands assoc. with transition,Red bands assoc. with transition,Green bands deeper than transiition,Red bands deeper than transiition,Unusable image,Bottomwater O2 (umol/L),CaCO3 (%),Productivity (mgC/m2/day),Organic Carbon (%),Sedimentation Rate (cm/ka)
DSDP,22,214,*,-11.3368,88.718,1655.0,None,False,False,False,False,False,190.5,54.1675,192.88992309570312,0.3298396468162536,0.6434944272041321
DSDP,22,215,*,-8.1217,86.7917,5309.0,None,False,False,False,False,False,185.8125,9.8125,233.0817108154297,0.4100989103317261,0.2661285102367401
DSDP,22,216,*,1.4622,90.208,2237.0,None,False,False,False,False,False,127.4375,72.6,279.22100830078125,0.3855124115943908,0.4639321565628052
DSDP,22,217,*,8.9262,90.5388,3010.0,None,False,False,False,False,True,162.8125,54.06999999999999,392.3249816894531,0.6886629462242126,1.345556378364563
DSDP,22,218,*,8.007,86.2828,3749.0,None,False,False,False,False,False,157.6875,59.665,577.1757202148438,0.7922236919403076,6.121978759765625
DSDP,23,219,*,9.0292,72.8778,1764.0,None,False,False,False,False,False,142.375,72.2325,464.6440124511719,0.6049941182136536,0.6687654256820679
DSDP,23,220,*,6.5162,70.9837,4036.0,None,False,False,False,False,False,136.875,56.795,282.66632080078125,0.5902939438819885,0.3279908895492553
DSDP,23,222,*,20.0915,61.5093,3546.0,None,False,False,False,False,False,116.0625,51.037499999999994,1860.5787353515625,0.9744205474853516,3.825304508209229
DSDP,23,223,*,18.7497,60.1297,3633.0,None,False,False,False,False,False,129.6875,51.5875,1894.4454345703125,1.3116588592529297,2.414322853088379
DSDP,23,225,*,21.3097,38.2518,1228.0,None,False,False,False,False,False,,,250.22276306152344,0.817042887210846,
DSDP,23,227,*,21.331,38.1328,1795.0,None,False,False,False,False,False,,,250.22276306152344,0.8142950534820557,
DSDP,23,228,*,19.086,39.0033,1038.0,None,False,False,False,False,False,,,315.7060546875,0.7860236167907715,
DSDP,23,229,*,14.7682,42.1912,852.0,None,False,False,False,False,True,,,1185.9986572265625,0.9619213938713074,
DSDP,23,230,*,15.3167,41.8342,832.0,None,False,False,False,False,False,,,902.995849609375,0.9071997404098512,
DSDP,24,231,*,11.8902,48.2452,2152.0,None,False,False,False,False,True,76.2727279663086,,491.1418151855469,1.373354434967041,12.855754852294922
DSDP,24,232,*,14.4822,51.9145,1743.0,None,False,False,False,False,False,77.64286041259766,67.83500000000001,3124.538818359375,2.2429563999176025,5.967746257781982
DSDP,24,233,*,14.328,52.1352,1839.0,None,False,False,False,False,False,90.33333587646484,64.19666666666667,3784.2958984375,2.2083258628845215,6.232176303863525
