Exp,Site,Hole,Core,Type,Section,A/W,Top offset (cm),Bottom offset (cm),Top depth CCSF (m),Bottom depth CCSF (m),Species,benthic d18O,s d18O,benthic d13C,s d13C
361,U1474,F,4,H,4,W,108.0,109.0,28.084000000000003,28.094,cib,4.52,0.047,-0.6599999999999999,0.023
361,U1474,F,4,H,4,W,120.0,121.0,28.204,28.214000000000002,cib,4.1,0.034,-0.21000000000000002,0.066
361,U1474,F,4,H,4,W,132.0,133.0,28.324,28.334000000000003,cib,4.54,0.045,-0.41000000000000003,0.026
361,U1474,F,4,H,4,W,145.0,146.0,28.454,28.464000000000002,cib,4.6499999999999995,0.031,-0.6000000000000001,0.03
361,U1474,F,4,H,5,W,7.0,8.0,28.574,28.584,cib,4.45,0.05,-0.19,0.028
361,U1474,F,4,H,5,W,19.0,20.0,28.694000000000003,28.704,cib,4.52,0.076,-0.17,0.048
361,U1474,F,4,H,5,W,31.0,32.0,28.814,28.824,cib,4.3,0.037,-0.29000000000000004,0.014
361,U1474,F,4,H,5,W,44.0,45.0,28.944000000000003,28.954,cib,4.28,0.06,0.1,0.023
361,U1474,F,4,H,5,W,56.0,57.0,29.064,29.074,cib,4.2299999999999995,0.045,0.24,0.035
361,U1474,F,4,H,5,W,68.0,69.0,29.184,29.194000000000003,cib,3.75,0.06,0.37,0.021
361,U1474,F,4,H,5,W,80.0,81.0,29.304000000000002,29.314,cib,3.79,0.041,0.41,0.058
361,U1474,F,4,H,5,W,93.0,94.0,29.434,29.444000000000003,cib,3.69,0.054,0.6199999999999999,0.033
361,U1474,F,4,H,5,W,105.0,106.0,29.554000000000002,29.564,cib,4.13,0.025,0.07,0.017
361,U1474,F,4,H,5,W,117.0,118.0,29.674,29.684,cib,3.91,0.031,0.37,0.032
361,U1474,F,4,H,5,W,129.0,130.0,29.794,29.804000000000002,cib,4.36,0.051,-0.26,0.026
361,U1474,F,4,H,5,W,142.0,143.0,29.924,29.934,cib,4.61,0.053,-0.45,0.049
361,U1474,F,4,H,6,W,4.0,5.0,30.044,30.054000000000002,cib,4.62,0.073,-0.24000000000000002,0.034
361,U1474,F,4,H,6,W,16.0,17.0,30.164,30.174000000000003,cib,4.54,0.054,0.09,0.036
361,U1474,F,4,H,6,W,28.0,29.0,30.284000000000002,30.294,cib,4.45,0.06,0.2,0.026
361,U1474,F,4,H,6,W,41.0,42.0,30.414,30.424000000000003,cib,4.2299999999999995,0.047,0.24,0.016
361,U1474,F,4,H,6,W,53.0,54.0,30.534000000000002,30.544,cib,4.2299999999999995,0.034,0.09,0.028
361,U1474,F,4,H,6,W,65.0,66.0,30.654,30.664,cib,4.36,0.024,-0.11000000000000001,0.016
361,U1474,A,4,H,5,W,15.0,16.0,31.145999999999997,31.156,cib,4.63,0.064,-0.38,0.023
361,U1474,A,4,H,5,W,88.0,89.0,31.875999999999998,31.886,uvi & cib,4.0473333333333334,0.04666666666666667,0.3463333333333333,0.02366666666666667
