leg,site,hole,well logging,latitude,longitude,ocean,ocean hemisphere,sea,physographic feature,hard rock feature,ta,td,re-entry,site survey,site termination,crust,equipment test,heat flow,in situ pore water,hydraulic piston core,variable length hpc,pressure core barrel,punch core,extended core barrel,water depth(m),total penetration(m),drilled penetration(m),cored penetration(m),number of cores recovered,meters recovered,percent recovery,meters of hard rock cored,number of hard rock cores,meters of hard rock recovered,depth to basememnt(m),oldest sediment sub-bottom depth,oldest sediment depth below sealevel,oldest sediment core number,oldest sediment age,oldest sediment lithology,oldest sediment lithology composition,oldest sediment source,oldest sediment heterogeneity,oldest sediment hardness,oldest comp1,oldest comp2,hard rock descriptions and comments
3,20,,NO,-28.5262,-26.843,ATLANTIC,SOUTH,,VALLEY,,01/09/1969,01/11/1969,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4500,6.4,,6.4,1.0,6.1,95,,,,,6.4,4506.0,1,NO AGE GIVEN,CLAY MINERAL RICH CLAYSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,HARD,unk - 3100,CLAY MINERAL,
3,20,,NO,-28.5262,-26.843,ATLANTIC,SOUTH,,VALLEY,,01/09/1969,01/11/1969,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4500,6.4,,6.4,1.0,6.1,95,,,,,6.4,4506.0,1,NO AGE GIVEN,CLAY MINERAL RICH CLAYSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,HARD,unk - 3100,CLAY MINERAL,
3,21,,NO,-28.585,-30.5975,ATLANTIC,SOUTH,,RISE,,01/15/1969,01/17/1969,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,2113,131.0,60.0,71.0,9.0,72.0,101,,,,,130.6,2244.0,9,NO AGE GIVEN,FORAM-NANNO CHALK OOZE,CALCAREOUS,PELAGIC,MONOGENIC,SOFT,NANNOFOSSIL,FORAMINIFERA,COQUINA ROCK
3,21,,NO,-28.585,-30.5975,ATLANTIC,SOUTH,,RISE,,01/15/1969,01/17/1969,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,2113,131.0,60.0,71.0,9.0,72.0,101,,,,,130.6,2244.0,9,NO AGE GIVEN,FORAM-NANNO CHALK OOZE,CALCAREOUS,PELAGIC,MONOGENIC,SOFT,NANNOFOSSIL,FORAMINIFERA,COQUINA ROCK
3,22,,NO,-30.0052,-35.25,ATLANTIC,SOUTH,,RISE,,01/18/1969,01/21/1969,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,2134,242.2,198.0,44.0,5.0,38.0,86,,,,,242.2,2376.0,5,NO AGE GIVEN,NANNOFOSSIL LIMESTONE,CALCAREOUS,TRANSITIONAL,MONOGENIC,HARD,NANNOFOSSIL,unk - 0000,
4,23,,NO,-6.1458,-31.0433,ATLANTIC,SOUTH,,RISE,,02/01/1969,02/04/1969,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,,NO,NO,NO,NO,NO,NO,NO,NO,5079,208.0,136.0,72.0,9.0,23.0,31,,,,,140.0,5219.0,6,NO AGE GIVEN,FORAMINIFERA RICH CLAY MINERAL RICH SANDY MUD,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,PHOSPHATE,CLAY MINERAL,ALTERED BASALT
4,24,,NO,-6.2717,-30.8922,ATLANTIC,SOUTH,,RISE,,02/04/1969,02/06/1969,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,,NO,NO,NO,NO,NO,NO,NO,NO,5148,234.0,197.0,37.0,4.0,5.2,14,,,,,234.0,5382.0,4,NO AGE GIVEN,CLAY MINERAL RICH CLAY,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,CLAY MINERAL,
4,24,,NO,-6.2717,-30.8922,ATLANTIC,SOUTH,,RISE,,02/04/1969,02/06/1969,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,,NO,NO,NO,NO,NO,NO,NO,NO,5148,234.0,197.0,37.0,4.0,5.2,14,,,,,234.0,5382.0,4,NO AGE GIVEN,CLAY MINERAL RICH CLAY,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,CLAY MINERAL,
4,25,,NO,-0.5167,-39.24,ATLANTIC,SOUTH,,RIDGE,,02/10/1969,02/11/1969,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,1916,66.0,2.0,64.0,9.0,25.0,39,,,,,59.0,1975.0,7,NO AGE GIVEN,ALGAL COQUINAL LIMESTONE,CALCAREOUS,TRANSITIONAL,HETEROGENIC,HARD,ESTIMATED CARBONATE,unk - 0000,
4,25,,NO,-0.5167,-39.24,ATLANTIC,SOUTH,,RIDGE,,02/10/1969,02/11/1969,NO,YES,DRILL BIT WORN OUT,,NO,NO,NO,NO,NO,NO,NO,NO,1916,66.0,2.0,64.0,9.0,25.0,39,,,,,59.0,1975.0,7,NO AGE GIVEN,ALGAL COQUINAL LIMESTONE,CALCAREOUS,TRANSITIONAL,HETEROGENIC,HARD,ESTIMATED CARBONATE,unk - 0000,
4,26,,NO,10.8925,-44.0428,ATLANTIC,NORTH,,TROUGH,,02/14/1969,02/15/1969,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,5169,9.0,,9.1,1.0,0.0,0,,,,,,,,,QUARTZ RICH CLAY MINERAL RICH MUD,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3300,CLAY MINERAL,
4,26,,NO,10.8925,-44.0428,ATLANTIC,NORTH,,TROUGH,,02/14/1969,02/15/1969,NO,YES,MECHANICAL OR EQUIPMENT FAILURE,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,5169,9.0,,9.1,1.0,0.0,0,,,,,,,,,QUARTZ RICH CLAY MINERAL RICH MUD,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3300,CLAY MINERAL,
4,27,,NO,15.8565,-56.8793,ATLANTIC,NORTH,,RIDGE,,02/23/1969,02/26/1969,NO,YES,OBJECTIVE REACHED,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,5251,475.0,419.0,56.0,7.0,29.0,51,,,,,475.0,5726.0,7,NO AGE GIVEN,RADIOLARIA RICH CLAY MINERAL RICH MUDSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,HARD,unk - 3300,CLAY MINERAL,
4,27,,NO,15.8565,-56.8793,ATLANTIC,NORTH,,RIDGE,,02/23/1969,02/26/1969,NO,YES,OBJECTIVE REACHED,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,5251,475.0,419.0,56.0,7.0,29.0,51,,,,,475.0,5726.0,7,NO AGE GIVEN,RADIOLARIA RICH CLAY MINERAL RICH MUDSTONE,DETRITAL,TERRIGENOUS,HETEROGENIC,HARD,unk - 3300,CLAY MINERAL,
4,28,,YES,20.5865,-65.6222,ATLANTIC,NORTH,,RIDGE,,03/03/1969,03/07/1969,NO,YES,DRILL BIT WORN OUT,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,5251,404.0,339.0,65.0,9.0,14.0,21,,,,,404.0,5655.0,9,NO AGE GIVEN,CLAY WITH CHERT,DETRITAL,TERRIGENOUS,HETEROGENIC,SOFT,unk - 3100,unk - 0000,
4,29,,NO,14.7852,-69.3227,ATLANTIC,NORTH,CARIBBEAN,BASIN,,03/08/1969,03/10/1969,NO,YES,CHIEF SCIENTIST DECISION,OCEANIC,NO,NO,NO,NO,NO,NO,NO,NO,4247,230.0,65.0,165.0,20.0,86.0,52,,,,,226.0,4473.0,19,NO AGE GIVEN,SPICULE RICH RADIOLARIA OOZE,SILICEOUS,PELAGIC,MONOGENIC,SOFT,RADIOLARIA,SPICULE,
