"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Sample comments"
"346","U1430","A","1","H","2","W","8.0","10.0","1.580","1.580","1.646","13.716","3.1235","","0.1999","1.0924","","1.48","",""
"346","U1430","A","1","H","3","W","40.0","41.0","3.300","3.300","1.414","11.783","3.0653","","0.2446","0.7861","","1.65","",""
"349","U1431","A","1","H","17","","45.0","50.0","8.450","8.406","0.040","0.333","0.0000","","0.4766","0.0000","","","","shipboard analysis"
"349","U1431","D","1","H","1","W","2.0","4.0","0.020","0.020","","","0.3945","","0.7313","0.0000","","","",""
"349","U1431","D","1","H","1","W","29.0","31.0","0.290","0.288","","","0.3647","","0.0636","0.0000","","","",""
"349","U1431","D","1","H","1","W","63.0","65.0","0.630","0.626","","","1.9160","","0.1024","0.0000","","","",""
"349","U1431","D","1","H","1","W","92.0","94.0","0.920","0.914","","","2.2664","","0.1036","0.0000","","","",""
"349","U1431","D","1","H","2","W","22.0","24.0","1.720","1.710","","","0.2214","","0.0188","0.0000","","","",""
"349","U1431","D","1","H","3","W","37.0","39.0","2.870","2.852","","","1.7413","","0.0797","0.0000","","","",""
"349","U1432","C","1","H","2","","145.0","150.0","2.950","2.932","0.654","5.450","1.6411","","0.1196","0.0000","","0.99","","shipboard analysis"
"349","U1432","C","1","H","4","","145.0","150.0","5.790","5.754","0.942","7.850","1.7699","","0.1177","0.0000","","0.83","","shipboard analysis"
"349","U1433","A","1","H","2","","145.0","150.0","2.950","2.950","0.874","7.283","1.4839","","0.0667","0.0000","","0.61","","shipboard analysis"
"349","U1433","A","1","H","5","","145.0","150.0","7.450","7.450","0.900","7.500","1.4051","","0.0960","0.0000","","0.51","","shipboard analysis"
"350","U1437","B","1","H","1","W","60.0","61.0","0.600","0.591","0.734","6.116","1.1585","","0.0326","","","0.42","",""
"350","U1437","B","1","H","2","W","60.0","61.0","2.100","2.068","2.855","23.791","3.9868","","0.1022","","","1.13","",""
"350","U1437","B","1","H","3","W","60.0","61.0","3.600","3.545","2.805","23.374","3.5977","","0.0737","","","0.79","",""
"350","U1437","B","1","H","4","W","60.0","61.0","4.710","4.639","2.781","23.174","3.6695","","0.0815","","","0.89","",""
"351","U1438","B","1","H","4","","140.0","150.0","2.900","2.876","0.050","0.417","0.2724","","0.0539","0.0000","","0.22","","shipboard analysis"
"352","U1439","A","1","H","2","W","2.0","3.0","1.480","1.480","5.532","46.098","6.7607","","0.0099","","","1.23","",""
"352","U1440","A","1","H","2","W","35.0","36.0","1.850","1.845","0.051","0.425","0.1606","","0.0223","","","0.11","",""
"352","U1441","A","1","R","1","W","7.0","8.0","0.070","0.070","0.185","1.542","","","","","","","",""
"352","U1442","A","1","R","3","W","30.0","31.0","3.300","2.329","8.986","74.880","","","","","","","",""
"353","U1443","A","1","H","1","W","21.0","22.0","0.210","0.208","7.910","65.914","7.3530","","bd","0.0000","","bdl","",""
"353","U1443","A","1","H","1","W","21.0","22.0","0.210","0.208","","","8.6873","","0.0931","0.0000","","","","shipboard analysis"
"353","U1443","A","1","H","2","W","20.0","21.0","1.150","1.138","5.703","47.523","7.0370","","bd","0.0000","","1.33","",""
"353","U1443","A","1","H","2","W","20.0","21.0","1.150","1.138","6.434","53.615","8.7595","","0.1637","0.0000","","2.33","",""
"353","U1444","A","1","H","1","W","34.0","35.0","0.340","0.340","2.878","23.982","3.5960","","0.1510","0.0000","","0.72","",""
"353","U1444","A","1","H","4","W","81.0","82.0","5.310","5.310","0.425","3.542","0.9670","","0.1000","0.0000","","0.54","",""
"353","U1444","A","1","H","4","W","86.0","87.0","5.360","5.360","0.627","5.225","1.2400","","0.1040","0.0000","","0.61","",""
"353","U1445","A","1","H","1","W","103.0","104.0","1.030","1.021","0.244","2.033","1.7304","","0.3191","0.0000","","1.49","",""
"353","U1445","A","1","H","3","W","132.0","133.0","4.320","4.283","2.369","19.741","","","","","","","",""
"353","U1445","A","1","H","5","W","24.0","25.0","6.240","6.186","2.987","24.891","","","","","","","",""
"353","U1445","A","1","H","5","W","24.0","25.0","6.240","6.186","0.6231","5.192","","","","","","","",""
"353","U1446","A","1","H","2","W","71.0","72.0","2.210","2.185","0.228","1.900","1.5810","","0.3090","0.0000","","1.35","",""
"353","U1447","A","1","H","2","W","39.0","40.0","1.890","1.851","2.499","20.824","4.0000","","0.5540","0.0000","","1.50","",""
"353","U1448","A","1","H","2","W","17.0","18.0","1.670","1.623","4.398","36.649","5.6270","","0.5290","0.0000","","1.23","",""
"354","U1449","A","1","H","2","W","66.0","71.0","2.160","2.136","3.700","30.832","3.9000","","","","","0.20","",""
"354","U1449","A","1","H","4","W","42.0","47.0","4.970","4.914","3.600","29.999","4.1000","","","","","0.50","",""
"354","U1450","A","1","H","2","W","66.0","71.0","2.160","2.155","5.700","47.498","6.5000","","","","","0.80","",""
"354","U1450","A","1","H","5","W","64.0","69.0","6.640","6.625","0.500","4.167","1.4000","","","","","0.90","",""
"354","U1451","A","1","H","2","W","79.0","81.0","2.290","2.269","3.000","24.999","3.9000","","","","","0.90","",""
"354","U1451","A","1","H","4","W","18.0","22.0","4.680","4.637","3.500","29.166","4.6000","","","","","1.10","",""
"354","U1452","C","1","H","5","W","45.0","47.0","5.950","5.883","0.600","5.000","1.1000","","","","","0.50","",""
"354","U1452","C","1","H","5","W","45.0","47.0","5.950","5.883","0.5792","4.826","","","","","","","",""
"354","U1452","C","1","H","5","W","57.0","59.0","6.070","6.002","0.300","2.500","0.4000","","","","","0.10","",""
"354","U1452","C","1","H","5","W","57.0","59.0","6.070","6.002","0.3097","2.581","","","","","","","",""
"354","U1453","A","1","H","5","W","74.0","78.0","6.440","6.397","0.400","3.333","0.7000","","","","","0.30","",""
"354","U1453","A","1","H","5","W","74.0","78.0","6.440","6.397","0.3788","3.157","","","","","","","",""
"354","U1454","A","1","H","1","","55.0","60.0","0.550","0.547","0.494","4.117","","","","","","","",""
"354","U1454","A","1","H","2","","5.0","10.0","1.550","1.542","0.589","4.908","1.1000","","","","","0.51","",""
